Team,Year,OT Losses,GF,GA,Wins,Losses,Win_rate,Diff
499,Chicago Blackhawks,2009,8,271,209,52,22,0.7027027027027027,62
500,Colorado Avalanche,2009,9,244,233,43,30,0.589041095890411,11
501,Dallas Stars,2009,14,237,254,37,31,0.5441176470588235,-17
502,Detroit Red Wings,2009,14,229,216,44,24,0.6470588235294118,13
503,Edmonton Oilers,2009,8,214,284,27,47,0.36486486486486486,-70
504,Florida Panthers,2009,13,208,244,32,37,0.463768115942029,-36
505,Los Angeles Kings,2009,9,241,219,46,27,0.6301369863013698,22
506,Minnesota Wild,2009,8,219,246,38,36,0.5135135135135135,-27
507,Montreal Canadiens,2009,10,217,223,39,33,0.5416666666666666,-6
508,Nashville Predators,2009,6,225,225,47,29,0.618421052631579,0
509,New Jersey Devils,2009,7,222,191,48,27,0.64,31
510,New York Islanders,2009,11,222,264,34,37,0.4788732394366197,-42
511,New York Rangers,2009,11,222,218,38,33,0.5352112676056338,4
512,Ottawa Senators,2009,6,225,238,44,32,0.5789473684210527,-13
513,Philadelphia Flyers,2009,6,236,225,41,35,0.5394736842105263,11
514,Phoenix Coyotes,2009,7,225,202,50,25,0.6666666666666666,23
515,Pittsburgh Penguins,2009,7,257,237,47,28,0.6266666666666667,20
516,San Jose Sharks,2009,11,264,215,51,20,0.7183098591549296,49
517,St. Louis Blues,2009,10,225,223,40,32,0.5555555555555556,2
518,Tampa Bay Lightning,2009,12,217,260,34,36,0.4857142857142857,-43
519,Toronto Maple Leafs,2009,14,214,267,30,38,0.4411764705882353,-53
520,Vancouver Canucks,2009,5,272,222,49,28,0.6363636363636364,50
521,Washington Capitals,2009,13,318,233,54,15,0.782608695652174,85
522,Anaheim Ducks,2010,5,239,235,47,30,0.6103896103896104,4
523,Atlanta Thrashers,2010,12,223,269,34,36,0.4857142857142857,-46
524,Boston Bruins,2010,11,246,195,46,25,0.647887323943662,51
525,Buffalo Sabres,2010,10,245,229,43,29,0.5972222222222222,16
526,Calgary Flames,2010,12,250,237,41,29,0.5857142857142857,13
527,Carolina Hurricanes,2010,11,236,239,40,31,0.5633802816901409,-3
528,Columbus Blue Jackets,2010,13,215,258,34,35,0.4927536231884058,-43
529,Chicago Blackhawks,2010,9,258,225,44,29,0.6027397260273972,33
530,Colorado Avalanche,2010,8,227,288,30,44,0.40540540540540543,-61
531,Dallas Stars,2010,11,227,233,42,29,0.5915492957746479,-6
532,Detroit Red Wings,2010,10,261,241,47,25,0.6527777777777778,20
533,Edmonton Oilers,2010,12,193,269,25,45,0.35714285714285715,-76
534,Florida Panthers,2010,12,195,229,30,40,0.42857142857142855,-34
535,Los Angeles Kings,2010,6,219,198,46,30,0.6052631578947368,21
536,Minnesota Wild,2010,8,206,233,39,35,0.527027027027027,-27
537,Montreal Canadiens,2010,8,216,209,44,30,0.5945945945945946,7
538,Nashville Predators,2010,11,219,194,44,27,0.6197183098591549,25
539,New Jersey Devils,2010,5,174,209,38,39,0.4935064935064935,-35
540,New York Islanders,2010,13,229,264,30,39,0.43478260869565216,-35
541,New York Rangers,2010,5,233,198,44,33,0.5714285714285714,35
542,Ottawa Senators,2010,10,192,250,32,40,0.4444444444444444,-58
543,Philadelphia Flyers,2010,12,259,223,47,23,0.6714285714285714,36
544,Phoenix Coyotes,2010,13,231,226,43,26,0.6231884057971014,5
545,Pittsburgh Penguins,2010,8,238,199,49,25,0.6621621621621622,39
546,San Jose Sharks,2010,9,248,213,48,25,0.6575342465753424,35
547,St. Louis Blues,2010,11,240,234,38,33,0.5352112676056338,6
548,Tampa Bay Lightning,2010,11,247,240,46,25,0.647887323943662,7
549,Toronto Maple Leafs,2010,11,218,251,37,34,0.5211267605633803,-33
550,Vancouver Canucks,2010,9,262,185,54,19,0.7397260273972602,77
551,Washington Capitals,2010,11,224,197,48,23,0.676056338028169,27
552,Anaheim Ducks,2011,12,204,231,34,36,0.4857142857142857,-27
553,Boston Bruins,2011,4,269,202,49,29,0.6282051282051282,67
554,Buffalo Sabres,2011,11,218,230,39,32,0.5492957746478874,-12
555,Calgary Flames,2011,16,202,226,37,29,0.5606060606060606,-24
556,Carolina Hurricanes,2011,16,213,243,33,33,0.5,-30
557,Columbus Blue Jackets,2011,7,202,262,29,46,0.38666666666666666,-60
558,Chicago Blackhawks,2011,11,248,238,45,26,0.6338028169014085,10
559,Colorado Avalanche,2011,6,208,220,41,35,0.5394736842105263,-12
560,Dallas Stars,2011,5,211,222,42,35,0.5454545454545454,-11
561,Detroit Red Wings,2011,6,248,203,48,28,0.631578947368421,45
562,Edmonton Oilers,2011,10,212,239,32,40,0.4444444444444444,-27
563,Florida Panthers,2011,18,203,227,38,26,0.59375,-24
564,Los Angeles Kings,2011,15,194,179,40,27,0.5970149253731343,15
565,Minnesota Wild,2011,11,177,226,35,36,0.49295774647887325,-49
566,Montreal Canadiens,2011,16,212,226,31,35,0.4696969696969697,-14
567,Nashville Predators,2011,8,237,210,48,26,0.6486486486486487,27
568,New Jersey Devils,2011,6,228,209,48,28,0.631578947368421,19
569,New York Islanders,2011,11,203,255,34,37,0.4788732394366197,-52
570,New York Rangers,2011,7,226,187,51,24,0.68,39
571,Ottawa Senators,2011,10,249,240,41,31,0.5694444444444444,9
572,Philadelphia Flyers,2011,9,264,232,47,26,0.6438356164383562,32
573,Phoenix Coyotes,2011,13,216,204,42,27,0.6086956521739131,12
574,Pittsburgh Penguins,2011,6,282,221,51,25,0.6710526315789473,61
575,San Jose Sharks,2011,10,228,210,43,29,0.5972222222222222,18
576,St. Louis Blues,2011,11,210,165,49,22,0.6901408450704225,45
577,Tampa Bay Lightning,2011,8,235,281,38,36,0.5135135135135135,-46
578,Toronto Maple Leafs,2011,10,231,264,35,37,0.4861111111111111,-33
579,Vancouver Canucks,2011,9,249,198,51,22,0.6986301369863014,51
580,Washington Capitals,2011,8,222,230,42,32,0.5675675675675675,-8
581,Winnipeg Jets,2011,10,225,246,37,35,0.5138888888888888,-21
