Team,Year,OT Losses,GF,GA,Wins,Losses,Win_rate,Diff
268,Nashville Predators,2000,3,186,200,34,36,0.4857142857142857,-14
269,New Jersey Devils,2000,3,295,195,48,19,0.7164179104477612,100
270,New York Islanders,2000,3,185,268,21,51,0.2916666666666667,-83
271,New York Rangers,2000,1,250,290,33,43,0.4342105263157895,-40
272,Ottawa Senators,2000,4,274,205,48,21,0.6956521739130435,69
273,Philadelphia Flyers,2000,3,240,207,43,25,0.6323529411764706,33
274,Phoenix Coyotes,2000,3,214,212,35,27,0.5645161290322581,2
275,Pittsburgh Penguins,2000,3,281,256,42,28,0.6,25
276,San Jose Sharks,2000,3,217,192,40,27,0.5970149253731343,25
277,St. Louis Blues,2000,5,249,195,43,22,0.6615384615384615,54
278,Tampa Bay Lightning,2000,5,201,280,24,47,0.3380281690140845,-79
279,Toronto Maple Leafs,2000,5,232,207,37,29,0.5606060606060606,25
280,Vancouver Canucks,2000,7,239,238,36,28,0.5625,1
281,Washington Capitals,2000,4,233,211,41,27,0.6029411764705882,22
282,Mighty Ducks of Anaheim,2001,3,175,198,29,42,0.4084507042253521,-23
283,Atlanta Thrashers,2001,5,187,288,19,47,0.2878787878787879,-101
284,Boston Bruins,2001,9,236,201,43,24,0.6417910447761194,35
285,Buffalo Sabres,2001,1,213,200,35,35,0.5,13
286,Calgary Flames,2001,3,201,220,32,35,0.47761194029850745,-19
287,Carolina Hurricanes,2001,5,217,217,35,26,0.5737704918032787,0
288,Columbus Blue Jackets,2001,5,164,255,22,47,0.3188405797101449,-91
289,Chicago Blackhawks,2001,1,216,207,41,27,0.6029411764705882,9
290,Colorado Avalanche,2001,1,212,169,45,28,0.6164383561643836,43
291,Dallas Stars,2001,5,215,213,36,28,0.5625,2
292,Detroit Red Wings,2001,4,251,187,51,17,0.75,64
293,Edmonton Oilers,2001,4,205,182,38,28,0.5757575757575758,23
294,Florida Panthers,2001,6,180,250,22,44,0.3333333333333333,-70
295,Los Angeles Kings,2001,4,214,190,40,27,0.5970149253731343,24
296,Minnesota Wild,2001,9,195,238,26,35,0.4262295081967213,-43
297,Montreal Canadiens,2001,3,207,209,36,31,0.5373134328358209,-2
298,Nashville Predators,2001,0,196,230,28,41,0.4057971014492754,-34
299,New Jersey Devils,2001,4,205,187,41,28,0.5942028985507246,18
300,New York Islanders,2001,4,239,220,42,28,0.6,19
301,New York Rangers,2001,4,227,258,36,38,0.4864864864864865,-31
302,Ottawa Senators,2001,7,243,208,39,27,0.5909090909090909,35
303,Philadelphia Flyers,2001,3,234,192,42,27,0.6086956521739131,42
304,Phoenix Coyotes,2001,6,228,210,40,27,0.5970149253731343,18
305,Pittsburgh Penguins,2001,5,198,249,28,41,0.4057971014492754,-51
306,San Jose Sharks,2001,3,248,199,44,27,0.6197183098591549,49
307,St. Louis Blues,2001,4,227,188,43,27,0.6142857142857143,39
308,Tampa Bay Lightning,2001,4,178,219,27,40,0.40298507462686567,-41
309,Toronto Maple Leafs,2001,4,249,207,43,25,0.6323529411764706,42
310,Vancouver Canucks,2001,3,254,211,42,30,0.5833333333333334,43
311,Washington Capitals,2001,2,228,240,36,33,0.5217391304347826,-12
312,Mighty Ducks of Anaheim,2002,6,203,193,40,27,0.5970149253731343,10
313,Atlanta Thrashers,2002,5,226,284,31,39,0.44285714285714284,-58
314,Boston Bruins,2002,4,245,237,36,31,0.5373134328358209,8
315,Buffalo Sabres,2002,8,190,219,27,37,0.421875,-29
316,Calgary Flames,2002,4,186,228,29,36,0.4461538461538462,-42
317,Carolina Hurricanes,2002,6,171,240,22,43,0.3384615384615385,-69
318,Columbus Blue Jackets,2002,3,213,263,29,42,0.4084507042253521,-50
319,Chicago Blackhawks,2002,6,207,226,30,33,0.47619047619047616,-19
320,Colorado Avalanche,2002,8,251,194,42,19,0.6885245901639344,57
321,Dallas Stars,2002,4,245,169,46,17,0.7301587301587301,76
322,Detroit Red Wings,2002,4,269,203,48,20,0.7058823529411765,66
323,Edmonton Oilers,2002,9,231,230,36,26,0.5806451612903226,1
324,Florida Panthers,2002,9,176,237,24,36,0.4,-61
325,Los Angeles Kings,2002,6,203,221,33,37,0.4714285714285714,-18
326,Minnesota Wild,2002,1,198,178,42,29,0.5915492957746479,20
327,Montreal Canadiens,2002,9,206,234,30,35,0.46153846153846156,-28
328,Nashville Predators,2002,7,183,206,27,35,0.43548387096774194,-23
329,New Jersey Devils,2002,6,216,166,46,20,0.696969696969697,50
330,New York Islanders,2002,2,224,231,35,34,0.5072463768115942,-7
331,New York Rangers,2002,4,210,231,32,36,0.47058823529411764,-21
332,Ottawa Senators,2002,1,263,182,52,21,0.7123287671232876,81
333,Philadelphia Flyers,2002,4,211,166,45,20,0.6923076923076923,45
334,Phoenix Coyotes,2002,5,204,230,31,35,0.4696969696969697,-26
335,Pittsburgh Penguins,2002,5,189,255,27,44,0.38028169014084506,-66
336,San Jose Sharks,2002,8,214,239,28,37,0.4307692307692308,-25
337,St. Louis Blues,2002,6,253,222,41,24,0.6307692307692307,31
338,Tampa Bay Lightning,2002,5,219,210,36,25,0.5901639344262295,9
339,Toronto Maple Leafs,2002,3,236,208,44,28,0.6111111111111112,28
340,Vancouver Canucks,2002,1,264,208,45,23,0.6617647058823529,56
341,Washington Capitals,2002,6,224,220,39,29,0.5735294117647058,4
342,Mighty Ducks of Anaheim,2003,8,184,213,29,35,0.453125,-29
343,Atlanta Thrashers,2003,4,214,243,33,37,0.4714285714285714,-29
344,Boston Bruins,2003,7,209,188,41,19,0.6833333333333333,21
345,Buffalo Sabres,2003,4,220,221,37,34,0.5211267605633803,-1
346,Calgary Flames,2003,3,200,176,42,30,0.5833333333333334,24
347,Carolina Hurricanes,2003,6,172,209,28,34,0.45161290322580644,-37
348,Columbus Blue Jackets,2003,4,177,238,25,45,0.35714285714285715,-61
349,Chicago Blackhawks,2003,8,188,259,20,43,0.31746031746031744,-71
350,Colorado Avalanche,2003,7,236,198,40,22,0.6451612903225806,38
351,Dallas Stars,2003,2,194,175,41,26,0.6119402985074627,19
352,Detroit Red Wings,2003,2,255,189,48,21,0.6956521739130435,66
353,Edmonton Oilers,2003,5,221,208,36,29,0.5538461538461539,13
354,Florida Panthers,2003,4,188,221,28,35,0.4444444444444444,-33
355,Los Angeles Kings,2003,9,205,217,28,29,0.49122807017543857,-12
356,Minnesota Wild,2003,3,188,183,30,29,0.5084745762711864,5
357,Montreal Canadiens,2003,4,208,192,41,30,0.5774647887323944,16
358,Nashville Predators,2003,4,216,217,38,29,0.5671641791044776,-1
359,New Jersey Devils,2003,2,213,164,43,25,0.6323529411764706,49
360,New York Islanders,2003,4,237,210,38,29,0.5671641791044776,27
361,New York Rangers,2003,8,206,250,27,40,0.40298507462686567,-44
362,Ottawa Senators,2003,6,262,189,43,23,0.6515151515151515,73
363,Philadelphia Flyers,2003,6,229,186,40,21,0.6557377049180327,43
364,Phoenix Coyotes,2003,6,188,245,22,36,0.3793103448275862,-57
365,Pittsburgh Penguins,2003,4,190,303,23,47,0.32857142857142857,-113
366,San Jose Sharks,2003,6,219,183,43,21,0.671875,36
367,St. Louis Blues,2003,2,191,198,39,30,0.5652173913043478,-7
